option_type,strike,moneyness,bid,ask,mid,implied_vol,volume,openInterest,lastTradeDate
put,6560.0,0.8580855612931665,20.0,20.7,20.35,0.27419062922409043,100.0,0,2026-09-03 19:23:31+00:00
put,6570.0,0.8593936185512353,20.3,21.0,20.65,0.2729231936077276,2.0,0,2026-09-02 17:12:41+00:00
put,6575.0,0.8600476471802698,20.4,21.1,20.75,0.27213519269290243,5.0,0,2026-09-09 20:04:23+00:00
put,6580.0,0.8607016758093042,20.5,21.2,20.85,0.2713449819616642,1.0,0,2026-08-17 13:46:37+00:00
put,6590.0,0.862009733067373,20.8,21.6,21.200000000000003,0.27019553568296567,2.0,0,2026-09-02 16:03:15+00:00
put,6600.0,0.8633177903254419,21.1,21.8,21.450000000000003,0.2687392932660418,56.0,0,2026-09-10 19:41:18+00:00
put,6610.0,0.8646258475835108,21.5,22.2,21.85,0.2676974830440622,8.0,0,2026-09-10 14:59:15+00:00
put,6620.0,0.8659339048415796,21.7,22.5,22.1,0.26621309974424157,1.0,0,2026-09-10 15:47:15+00:00
put,6625.0,0.866587933470614,21.9,22.6,22.25,0.2655363176645394,2.0,0,2026-09-10 18:10:10+00:00
put,6630.0,0.8672419620996484,22.1,22.9,22.5,0.26513256728070866,1.0,0,2026-09-10 14:33:40+00:00
put,6640.0,0.8685500193577174,22.4,23.2,22.799999999999997,0.26375745308585063,3.0,0,2026-09-10 18:10:10+00:00
put,6650.0,0.8698580766157862,22.8,23.5,23.15,0.262502863465111,82.0,0,2026-09-10 20:11:39+00:00
put,6660.0,0.871166133873855,23.1,23.9,23.5,0.26123081820888155,3.0,0,2026-09-10 18:18:39+00:00
put,6670.0,0.8724741911319238,23.5,24.3,23.9,0.26007279524896887,4.0,0,2026-09-08 14:23:07+00:00
put,6675.0,0.8731282197609583,23.7,24.4,24.049999999999997,0.25935581483991826,2.0,0,2026-09-10 13:30:26+00:00
put,6680.0,0.8737822483899927,23.9,24.6,24.25,0.258764976838198,2.0,0,2026-09-10 16:05:49+00:00
put,6690.0,0.8750903056480616,24.3,25.0,24.65,0.2575682960020402,2.0,0,2026-09-10 13:30:26+00:00
put,6700.0,0.8763983629061304,24.6,25.4,25.0,0.25622583800409054,30.0,0,2026-09-10 19:09:11+00:00
put,6710.0,0.8777064201641993,25.0,25.8,25.4,0.25499173114218304,9.0,0,2026-09-10 20:00:35+00:00
put,6720.0,0.8790144774222681,25.5,26.2,25.85,0.2538612648269878,1.0,0,2026-09-03 19:52:02+00:00
put,6725.0,0.8796685060513025,25.7,26.4,26.049999999999997,0.2532267818946716,4.0,0,2026-09-10 20:00:35+00:00
put,6730.0,0.8803225346803369,25.8,26.6,26.200000000000003,0.25246649188140385,1.0,0,2026-09-09 13:30:08+00:00
put,6740.0,0.8816305919384059,26.2,27.0,26.6,0.25117594452343744,3.0,0,2026-09-10 14:24:10+00:00
put,6750.0,0.8829386491964747,26.6,27.4,27.0,0.24986714337430274,27.0,0,2026-09-10 20:08:03+00:00
put,6760.0,0.8842467064545435,27.1,27.8,27.450000000000003,0.2486569082509069,1.0,0,2026-09-04 13:48:24+00:00
put,6770.0,0.8855547637126124,27.6,28.3,27.950000000000003,0.24754080733523842,1.0,0,2026-09-03 16:44:46+00:00
put,6775.0,0.8862087923416468,27.8,28.6,28.200000000000003,0.24697388940107767,5.0,0,2026-09-10 19:55:01+00:00
put,6780.0,0.8868628209706813,28.0,28.7,28.35,0.24617443484177182,10.0,0,2026-08-31 14:23:26+00:00
put,6790.0,0.8881708782287501,28.5,29.3,28.9,0.24512657480508257,2.0,0,2026-09-08 14:33:06+00:00
put,6800.0,0.8894789354868189,29.1,29.4,29.25,0.2436114012603182,351.0,0,2026-09-10 19:44:29+00:00
put,6810.0,0.8907869927448878,29.4,30.1,29.75,0.24240944870842948,14.0,0,2026-09-10 20:00:48+00:00
put,6820.0,0.8920950500029566,30.0,30.7,30.35,0.2414002785611192,1.0,0,2026-09-03 15:52:04+00:00
put,6825.0,0.892749078631991,30.2,31.0,30.6,0.24077859805852705,2.0,0,2026-09-10 20:00:48+00:00
put,6830.0,0.8934031072610255,30.5,31.2,30.85,0.24015152551964458,40.0,0,2026-09-09 14:00:54+00:00
put,6840.0,0.8947111645190944,31.0,31.8,31.4,0.2389859039032763,1.0,0,2026-09-10 14:09:09+00:00
put,6850.0,0.8960192217771632,31.5,31.9,31.7,0.23728010675036965,8.0,0,2026-09-10 15:54:58+00:00
put,6860.0,0.897327279035232,32.0,32.8,32.4,0.23637986417419007,11.0,0,2026-09-03 16:42:22+00:00
put,6870.0,0.898635336293301,32.6,33.4,33.0,0.23524687145023554,14.0,0,2026-09-10 16:44:38+00:00
put,6875.0,0.8992893649223354,32.8,33.6,33.2,0.2344712095673191,11.0,0,2026-09-10 19:55:00+00:00
put,6880.0,0.8999433935513698,33.2,34.0,33.6,0.2340883071998495,6.0,0,2026-09-10 16:43:39+00:00
put,6885.0,0.9005974221804042,33.4,34.2,33.8,0.23330275813757906,2.0,0,2026-09-10 14:26:04+00:00
put,6890.0,0.9012514508094386,33.7,34.5,34.1,0.23270912656262566,5.0,0,2026-09-10 16:44:33+00:00
